"""ID"";""CategoryDrivingLicence"";""AgeDrivingLicenseHolder"";""Region"";""Periods"";""PeopleWithADrivingLicence_1"""
"""119"";""A028200"";""10000"";""PV27  "";""2016JJ00"";"" 1714633"""
"""120"";""A028200"";""10000"";""PV27  "";""2017JJ00"";"" 1730667"""
"""121"";""A028200"";""10000"";""PV27  "";""2018JJ00"";"" 1741461"""
"""122"";""A028200"";""10000"";""PV27  "";""2019JJ00"";"" 1755663"""
"""123"";""A028200"";""10000"";""PV27  "";""2020JJ00"";"" 1772245"""
"""124"";""A028200"";""10000"";""PV27  "";""2021JJ00"";"" 1792413"""
"""125"";""A028200"";""10000"";""PV27  "";""2022JJ00"";"" 1789827"""
"""126"";""A028200"";""10000"";""PV28  "";""2014JJ00"";"" 2136022"""
"""127"";""A028200"";""10000"";""PV28  "";""2015JJ00"";"" 2157820"""
"""128"";""A028200"";""10000"";""PV28  "";""2016JJ00"";"" 2191504"""
"""129"";""A028200"";""10000"";""PV28  "";""2017JJ00"";"" 2213368"""
"""130"";""A028200"";""10000"";""PV28  "";""2018JJ00"";"" 2234321"""
"""131"";""A028200"";""10000"";""PV28  "";""2019JJ00"";"" 2257342"""
"""132"";""A028200"";""10000"";""PV28  "";""2020JJ00"";"" 2261563"""
"""133"";""A028200"";""10000"";""PV28  "";""2021JJ00"";"" 2290199"""
"""134"";""A028200"";""10000"";""PV28  "";""2022JJ00"";"" 2288411"""
"""135"";""A028200"";""10000"";""PV29  "";""2014JJ00"";""  250236"""
"""136"";""A028200"";""10000"";""PV29  "";""2015JJ00"";""  252092"""
"""137"";""A028200"";""10000"";""PV29  "";""2016JJ00"";""  254046"""
"""138"";""A028200"";""10000"";""PV29  "";""2017JJ00"";""  255347"""
"""139"";""A028200"";""10000"";""PV29  "";""2018JJ00"";""  256541"""
"""140"";""A028200"";""10000"";""PV29  "";""2019JJ00"";""  258299"""
"""141"";""A028200"";""10000"";""PV29  "";""2020JJ00"";""  260235"""
"""142"";""A028200"";""10000"";""PV29  "";""2021JJ00"";""  263684"""
"""143"";""A028200"";""10000"";""PV29  "";""2022JJ00"";""  263570"""
"""144"";""A028200"";""10000"";""PV30  "";""2014JJ00"";"" 1646258"""
"""145"";""A028200"";""10000"";""PV30  "";""2015JJ00"";"" 1661340"""
"""146"";""A028200"";""10000"";""PV30  "";""2016JJ00"";"" 1680392"""
"""147"";""A028200"";""10000"";""PV30  "";""2017JJ00"";"" 1693626"""
"""148"";""A028200"";""10000"";""PV30  "";""2018JJ00"";"" 1706960"""
"""149"";""A028200"";""10000"";""PV30  "";""2019JJ00"";"" 1723431"""
"""150"";""A028200"";""10000"";""PV30  "";""2020JJ00"";"" 1742254"""
"""151"";""A028200"";""10000"";""PV30  "";""2021JJ00"";"" 1762189"""
"""152"";""A028200"";""10000"";""PV30  "";""2022JJ00"";"" 1765058"""
"""153"";""A028200"";""10000"";""PV31  "";""2014JJ00"";""  735182"""
"""154"";""A028200"";""10000"";""PV31  "";""2015JJ00"";""  738542"""
"""155"";""A028200"";""10000"";""PV31  "";""2016JJ00"";""  743760"""
"""156"";""A028200"";""10000"";""PV31  "";""2017JJ00"";""  746745"""
"""157"";""A028200"";""10000"";""PV31  "";""2018JJ00"";""  748180"""
"""158"";""A028200"";""10000"";""PV31  "";""2019JJ00"";""  751023"""
"""159"";""A028200"";""10000"";""PV31  "";""2020JJ00"";""  755378"""
"""160"";""A028200"";""10000"";""PV31  "";""2021JJ00"";""  761684"""
"""161"";""A028200"";""10000"";""PV31  "";""2022JJ00"";""  759830"""
"""162"";""A028200"";""10000"";""PV99  "";""2014JJ00"";""   30970"""
"""163"";""A028200"";""10000"";""PV99  "";""2015JJ00"";""   31519"""
"""164"";""A028200"";""10000"";""PV99  "";""2016JJ00"";""   33125"""
"""165"";""A028200"";""10000"";""PV99  "";""2017JJ00"";""   35491"""
"""166"";""A028200"";""10000"";""PV99  "";""2018JJ00"";""   37737"""
"""167"";""A028200"";""10000"";""PV99  "";""2019JJ00"";""   40037"""
"""168"";""A028200"";""10000"";""PV99  "";""2020JJ00"";""   41976"""
"""169"";""A028200"";""10000"";""PV99  "";""2021JJ00"";""   44145"""
"""170"";""A028200"";""10000"";""PV99  "";""2022JJ00"";""   43292"""
"""171"";""A028200"";""53070"";""NL01  "";""2014JJ00"";""   12846"""
"""172"";""A028200"";""53070"";""NL01  "";""2015JJ00"";""   14927"""
"""173"";""A028200"";""53070"";""NL01  "";""2016JJ00"";""   16665"""
"""174"";""A028200"";""53070"";""NL01  "";""2017JJ00"";""   17367"""
"""175"";""A028200"";""53070"";""NL01  "";""2018JJ00"";""   19660"""
"""176"";""A028200"";""53070"";""NL01  "";""2019JJ00"";""   18688"""
"""177"";""A028200"";""53070"";""NL01  "";""2020JJ00"";""   18425"""
"""178"";""A028200"";""53070"";""NL01  "";""2021JJ00"";""   12122"""
"""179"";""A028200"";""53070"";""NL01  "";""2022JJ00"";""   10063"""
"""180"";""A028200"";""53070"";""LD01  "";""2014JJ00"";""    1371"""
"""181"";""A028200"";""53070"";""LD01  "";""2015JJ00"";""    1547"""
"""182"";""A028200"";""53070"";""LD01  "";""2016JJ00"";""    1661"""
"""183"";""A028200"";""53070"";""LD01  "";""2017JJ00"";""    1800"""
"""184"";""A028200"";""53070"";""LD01  "";""2018JJ00"";""    2145"""
"""185"";""A028200"";""53070"";""LD01  "";""2019JJ00"";""    1964"""
"""186"";""A028200"";""53070"";""LD01  "";""2020JJ00"";""    1961"""
"""187"";""A028200"";""53070"";""LD01  "";""2021JJ00"";""    1269"""
"""188"";""A028200"";""53070"";""LD01  "";""2022JJ00"";""    1129"""
"""189"";""A028200"";""53070"";""LD02  "";""2014JJ00"";""    3090"""
"""190"";""A028200"";""53070"";""LD02  "";""2015JJ00"";""    3512"""
"""191"";""A028200"";""53070"";""LD02  "";""2016JJ00"";""    4119"""
"""192"";""A028200"";""53070"";""LD02  "";""2017JJ00"";""    4334"""
"""193"";""A028200"";""53070"";""LD02  "";""2018JJ00"";""    4829"""
"""194"";""A028200"";""53070"";""LD02  "";""2019JJ00"";""    4695"""
"""195"";""A028200"";""53070"";""LD02  "";""2020JJ00"";""    4556"""
"""196"";""A028200"";""53070"";""LD02  "";""2021JJ00"";""    3083"""
"""197"";""A028200"";""53070"";""LD02  "";""2022JJ00"";""    2513"""
"""198"";""A028200"";""53070"";""LD03  "";""2014JJ00"";""    5154"""
"""199"";""A028200"";""53070"";""LD03  "";""2015JJ00"";""    5999"""
"""200"";""A028200"";""53070"";""LD03  "";""2016JJ00"";""    6632"""
"""201"";""A028200"";""53070"";""LD03  "";""2017JJ00"";""    6850"""
"""202"";""A028200"";""53070"";""LD03  "";""2018JJ00"";""    7950"""
"""203"";""A028200"";""53070"";""LD03  "";""2019JJ00"";""    7585"""
"""204"";""A028200"";""53070"";""LD03  "";""2020JJ00"";""    7550"""
"""205"";""A028200"";""53070"";""LD03  "";""2021JJ00"";""    5026"""
"""206"";""A028200"";""53070"";""LD03  "";""2022JJ00"";""    4201"""
"""207"";""A028200"";""53070"";""LD04  "";""2014JJ00"";""    3230"""
"""208"";""A028200"";""53070"";""LD04  "";""2015JJ00"";""    3869"""
"""209"";""A028200"";""53070"";""LD04  "";""2016JJ00"";""    4252"""
"""210"";""A028200"";""53070"";""LD04  "";""2017JJ00"";""    4383"""
"""211"";""A028200"";""53070"";""LD04  "";""2018JJ00"";""    4736"""
"""212"";""A028200"";""53070"";""LD04  "";""2019JJ00"";""    4444"""
"""213"";""A028200"";""53070"";""LD04  "";""2020JJ00"";""    4358"""
"""214"";""A028200"";""53070"";""LD04  "";""2021JJ00"";""    2744"""
"""215"";""A028200"";""53070"";""LD04  "";""2022JJ00"";""    2220"""
"""216"";""A028200"";""53070"";""LD99  "";""2014JJ00"";""       1"""
"""217"";""A028200"";""53070"";""LD99  "";""2015JJ00"";""       0"""
"""218"";""A028200"";""53070"";""LD99  "";""2016JJ00"";""       1"""
"""219"";""A028200"";""53070"";""LD99  "";""2017JJ00"";""       0"""
"""220"";""A028200"";""53070"";""LD99  "";""2018JJ00"";""       0"""
"""221"";""A028200"";""53070"";""LD99  "";""2019JJ00"";""       0"""
"""222"";""A028200"";""53070"";""LD99  "";""2020JJ00"";""       0"""
"""223"";""A028200"";""53070"";""LD99  "";""2021JJ00"";""       0"""
"""224"";""A028200"";""53070"";""LD99  "";""2022JJ00"";""       0"""
"""225"";""A028200"";""53070"";""PV20  "";""2014JJ00"";""     355"""
"""226"";""A028200"";""53070"";""PV20  "";""2015JJ00"";""     428"""
"""227"";""A028200"";""53070"";""PV20  "";""2016JJ00"";""     416"""
"""228"";""A028200"";""53070"";""PV20  "";""2017JJ00"";""     457"""
"""229"";""A028200"";""53070"";""PV20  "";""2018JJ00"";""     576"""
"""230"";""A028200"";""53070"";""PV20  "";""2019JJ00"";""     538"""
"""231"";""A028200"";""53070"";""PV20  "";""2020JJ00"";""     513"""
"""232"";""A028200"";""53070"";""PV20  "";""2021JJ00"";""     351"""
"""233"";""A028200"";""53070"";""PV20  "";""2022JJ00"";""     282"""
"""234"";""A028200"";""53070"";""PV21  "";""2014JJ00"";""     530"""
"""235"";""A028200"";""53070"";""PV21  "";""2015JJ00"";""     568"""
"""236"";""A028200"";""53070"";""PV21  "";""2016JJ00"";""     702"""
"""237"";""A028200"";""53070"";""PV21  "";""2017JJ00"";""     725"""
"""238"";""A028200"";""53070"";""PV21  "";""2018JJ00"";""     900"""
"""239"";""A028200"";""53070"";""PV21  "";""2019JJ00"";""     765"""
"""240"";""A028200"";""53070"";""PV21  "";""2020JJ00"";""     761"""
"""241"";""A028200"";""53070"";""PV21  "";""2021JJ00"";""     498"""
"""242"";""A028200"";""53070"";""PV21  "";""2022JJ00"";""     447"""
"""243"";""A028200"";""53070"";""PV22  "";""2014JJ00"";""     486"""
"""244"";""A028200"";""53070"";""PV22  "";""2015JJ00"";""     551"""
"""245"";""A028200"";""53070"";""PV22  "";""2016JJ00"";""     543"""
"""246"";""A028200"";""53070"";""PV22  "";""2017JJ00"";""     618"""
"""247"";""A028200"";""53070"";""PV22  "";""2018JJ00"";""     669"""
"""248"";""A028200"";""53070"";""PV22  "";""2019JJ00"";""     661"""
"""249"";""A028200"";""53070"";""PV22  "";""2020JJ00"";""     687"""
"""250"";""A028200"";""53070"";""PV22  "";""2021JJ00"";""     420"""
"""251"";""A028200"";""53070"";""PV22  "";""2022JJ00"";""     400"""
"""252"";""A028200"";""53070"";""PV23  "";""2014JJ00"";""     967"""
"""253"";""A028200"";""53070"";""PV23  "";""2015JJ00"";""    1071"""
"""254"";""A028200"";""53070"";""PV23  "";""2016JJ00"";""    1268"""
"""255"";""A028200"";""53070"";""PV23  "";""2017JJ00"";""    1362"""
"""256"";""A028200"";""53070"";""PV23  "";""2018JJ00"";""    1458"""
"""257"";""A028200"";""53070"";""PV23  "";""2019JJ00"";""    1421"""
"""258"";""A028200"";""53070"";""PV23  "";""2020JJ00"";""    1348"""
"""259"";""A028200"";""53070"";""PV23  "";""2021JJ00"";""     979"""
"""260"";""A028200"";""53070"";""PV23  "";""2022JJ00"";""     848"""
"""261"";""A028200"";""53070"";""PV24  "";""2014JJ00"";""     329"""
"""262"";""A028200"";""53070"";""PV24  "";""2015JJ00"";""     371"""
"""263"";""A028200"";""53070"";""PV24  "";""2016JJ00"";""     428"""
"""264"";""A028200"";""53070"";""PV24  "";""2017JJ00"";""     472"""
"""265"";""A028200"";""53070"";""PV24  "";""2018JJ00"";""     491"""
"""266"";""A028200"";""53070"";""PV24  "";""2019JJ00"";""     515"""
"""267"";""A028200"";""53070"";""PV24  "";""2020JJ00"";""     471"""
"""268"";""A028200"";""53070"";""PV24  "";""2021JJ00"";""     333"""
"""269"";""A028200"";""53070"";""PV24  "";""2022JJ00"";""     284"""
"""270"";""A028200"";""53070"";""PV25  "";""2014JJ00"";""    1794"""
"""271"";""A028200"";""53070"";""PV25  "";""2015JJ00"";""    2070"""
"""272"";""A028200"";""53070"";""PV25  "";""2016JJ00"";""    2423"""
"""273"";""A028200"";""53070"";""PV25  "";""2017JJ00"";""    2500"""
"""274"";""A028200"";""53070"";""PV25  "";""2018JJ00"";""    2880"""
"""275"";""A028200"";""53070"";""PV25  "";""2019JJ00"";""    2759"""
"""276"";""A028200"";""53070"";""PV25  "";""2020JJ00"";""    2737"""
"""277"";""A028200"";""53070"";""PV25  "";""2021JJ00"";""    1771"""
"""278"";""A028200"";""53070"";""PV25  "";""2022JJ00"";""    1381"""
"""279"";""A028200"";""53070"";""PV26  "";""2014JJ00"";""     919"""
"""280"";""A028200"";""53070"";""PV26  "";""2015JJ00"";""    1014"""
"""281"";""A028200"";""53070"";""PV26  "";""2016JJ00"";""    1199"""
"""282"";""A028200"";""53070"";""PV26  "";""2017JJ00"";""    1296"""
"""283"";""A028200"";""53070"";""PV26  "";""2018JJ00"";""    1517"""
"""284"";""A028200"";""53070"";""PV26  "";""2019JJ00"";""    1507"""
"""285"";""A028200"";""53070"";""PV26  "";""2020JJ00"";""    1490"""
"""286"";""A028200"";""53070"";""PV26  "";""2021JJ00"";""    1017"""
"""287"";""A028200"";""53070"";""PV26  "";""2022JJ00"";""     829"""
"""288"";""A028200"";""53070"";""PV27  "";""2014JJ00"";""    1634"""
"""289"";""A028200"";""53070"";""PV27  "";""2015JJ00"";""    1963"""
"""290"";""A028200"";""53070"";""PV27  "";""2016JJ00"";""    2248"""
"""291"";""A028200"";""53070"";""PV27  "";""2017JJ00"";""    2192"""
"""292"";""A028200"";""53070"";""PV27  "";""2018JJ00"";""    2431"""
"""293"";""A028200"";""53070"";""PV27  "";""2019JJ00"";""    2370"""
"""294"";""A028200"";""53070"";""PV27  "";""2020JJ00"";""    2318"""
"""295"";""A028200"";""53070"";""PV27  "";""2021JJ00"";""    1596"""
"""296"";""A028200"";""53070"";""PV27  "";""2022JJ00"";""    1351"""
"""297"";""A028200"";""53070"";""PV28  "";""2014JJ00"";""    2133"""
"""298"";""A028200"";""53070"";""PV28  "";""2015JJ00"";""    2468"""
"""299"";""A028200"";""53070"";""PV28  "";""2016JJ00"";""    2615"""
"""300"";""A028200"";""53070"";""PV28  "";""2017JJ00"";""    2779"""
"""301"";""A028200"";""53070"";""PV28  "";""2018JJ00"";""    3303"""
