"""ID"";""Population"";""Sex"";""PersonalCharacteristics"";""Margins"";""Periods"";""TrafficParticipation_1"";""UseOfPublicTransport_2"""
"""121"";""A048710"";""T001038"";""2012655"";""MW00000"";""2019JJ00"";""    78.5"";""    11.5"""
"""122"";""A048710"";""T001038"";""2012655"";""MW00000"";""2020JJ00"";""    67.9"";""     5.1"""
"""123"";""A048710"";""T001038"";""2012655"";""MW00000"";""2021JJ00"";""    73.7"";""     4.8"""
"""124"";""A048710"";""T001038"";""2012655"";""MOG0095"";""2018JJ00"";""    79.5"";""    10.0"""
"""125"";""A048710"";""T001038"";""2012655"";""MOG0095"";""2019JJ00"";""    77.0"";""    10.5"""
"""126"";""A048710"";""T001038"";""2012655"";""MOG0095"";""2020JJ00"";""    66.6"";""     4.5"""
"""127"";""A048710"";""T001038"";""2012655"";""MOG0095"";""2021JJ00"";""    72.4"";""     4.3"""
"""128"";""A048710"";""T001038"";""2012655"";""MBG0095"";""2018JJ00"";""    82.3"";""    12.0"""
"""129"";""A048710"";""T001038"";""2012655"";""MBG0095"";""2019JJ00"";""    80.0"";""    12.5"""
"""130"";""A048710"";""T001038"";""2012655"";""MBG0095"";""2020JJ00"";""    69.2"";""     5.7"""
"""131"";""A048710"";""T001038"";""2012655"";""MBG0095"";""2021JJ00"";""    74.9"";""     5.4"""
"""132"";""A048710"";""T001038"";""2012657"";""MW00000"";""2018JJ00"";""    75.5"";""    16.0"""
"""133"";""A048710"";""T001038"";""2012657"";""MW00000"";""2019JJ00"";""    74.3"";""    15.1"""
"""134"";""A048710"";""T001038"";""2012657"";""MW00000"";""2020JJ00"";""    60.3"";""     7.3"""
"""135"";""A048710"";""T001038"";""2012657"";""MW00000"";""2021JJ00"";""    68.7"";""     9.1"""
"""136"";""A048710"";""T001038"";""2012657"";""MOG0095"";""2018JJ00"";""    74.2"";""    14.9"""
"""137"";""A048710"";""T001038"";""2012657"";""MOG0095"";""2019JJ00"";""    73.0"";""    14.1"""
"""138"";""A048710"";""T001038"";""2012657"";""MOG0095"";""2020JJ00"";""    59.2"";""     6.7"""
"""139"";""A048710"";""T001038"";""2012657"";""MOG0095"";""2021JJ00"";""    67.6"";""     8.5"""
"""140"";""A048710"";""T001038"";""2012657"";""MBG0095"";""2018JJ00"";""    76.8"";""    17.0"""
"""141"";""A048710"";""T001038"";""2012657"";""MBG0095"";""2019JJ00"";""    75.6"";""    16.1"""
"""142"";""A048710"";""T001038"";""2012657"";""MBG0095"";""2020JJ00"";""    61.5"";""     8.0"""
"""143"";""A048710"";""T001038"";""2012657"";""MBG0095"";""2021JJ00"";""    69.8"";""     9.8"""
"""144"";""A048710"";""T001038"";""1014752"";""MW00000"";""2018JJ00"";""    77.1"";""    12.5"""
"""145"";""A048710"";""T001038"";""1014752"";""MW00000"";""2019JJ00"";""    74.1"";""    12.1"""
"""146"";""A048710"";""T001038"";""1014752"";""MW00000"";""2020JJ00"";""    62.8"";""     5.6"""
"""147"";""A048710"";""T001038"";""1014752"";""MW00000"";""2021JJ00"";""    70.0"";""     7.0"""
"""148"";""A048710"";""T001038"";""1014752"";""MOG0095"";""2018JJ00"";""    75.9"";""    11.6"""
"""149"";""A048710"";""T001038"";""1014752"";""MOG0095"";""2019JJ00"";""    72.8"";""    11.3"""
"""150"";""A048710"";""T001038"";""1014752"";""MOG0095"";""2020JJ00"";""    61.6"";""     5.1"""
"""151"";""A048710"";""T001038"";""1014752"";""MOG0095"";""2021JJ00"";""    68.9"";""     6.5"""
"""152"";""A048710"";""T001038"";""1014752"";""MBG0095"";""2018JJ00"";""    78.3"";""    13.4"""
"""153"";""A048710"";""T001038"";""1014752"";""MBG0095"";""2019JJ00"";""    75.4"";""    13.0"""
"""154"";""A048710"";""T001038"";""1014752"";""MBG0095"";""2020JJ00"";""    63.9"";""     6.2"""
"""155"";""A048710"";""T001038"";""1014752"";""MBG0095"";""2021JJ00"";""    71.0"";""     7.6"""
"""156"";""A048710"";""T001038"";""1014753"";""MW00000"";""2018JJ00"";""    76.6"";""     7.4"""
"""157"";""A048710"";""T001038"";""1014753"";""MW00000"";""2019JJ00"";""    76.3"";""     7.2"""
"""158"";""A048710"";""T001038"";""1014753"";""MW00000"";""2020JJ00"";""    67.1"";""     3.5"""
"""159"";""A048710"";""T001038"";""1014753"";""MW00000"";""2021JJ00"";""    73.3"";""     4.3"""
"""160"";""A048710"";""T001038"";""1014753"";""MOG0095"";""2018JJ00"";""    75.5"";""     6.8"""
"""161"";""A048710"";""T001038"";""1014753"";""MOG0095"";""2019JJ00"";""    75.2"";""     6.6"""
"""162"";""A048710"";""T001038"";""1014753"";""MOG0095"";""2020JJ00"";""    66.1"";""     3.2"""
"""163"";""A048710"";""T001038"";""1014753"";""MOG0095"";""2021JJ00"";""    72.3"";""     3.9"""
